bures	ˈburɛs
zakryjem	ˈzakrijɛm
paule	ˈpaulɛ
zapatu	ˈzapatu
beesa	ˈbɛsa
soner	ˈsɔnɛr
cru	ˈtsru
skrate	ˈskratɛ
comera	ˈtsɔmɛra
mucho	ˈmuxɔ
zvýš	ˈzviːʃ
zostrelí	ˈzɔstrɛliː
zoho	ˈzɔɦɔ
padne	ˈpadɲɛ
sadím	ˈsadiːm
kamose	ˈkamɔsɛ
spotené	ˈspɔtɛnɛː
sladíš	ˈsɫadiːʃ
vrach	ˈvrax
zalej	ˈzalɛj
štvrej	ˈʃtvrɛj
zenu	ˈzɛnu
pornos	ˈpɔrnɔs
kecy	ˈkɛtsi
slamy	ˈsɫami
kramom	ˈkramɔm
stavaný	ˈstavaniː
tejl	ˈtɛjl
vlákna	ˈvɫaːkna
kravu	ˈkravu
konto	ˈkɔntɔ
varu	ˈvaru
vrakom	ˈvrakɔm
neštve	ˈɲɛʃtvɛ
pasujem	ˈpasujɛm
doprav	ˈdɔprav
vendu	ˈvɛndu
tupým	ˈtupiːm
vozle	ˈvɔzɫɛ
saber	ˈsabɛr
cej	ˈtsɛj
týma	ˈtiːma
kadaj	ˈkadaj
skort	ˈskɔrt
slovný	ˈsɫɔvniː
markove	ˈmarkɔvɛ
koh	ˈkɔɦ
vím	ˈviːm
slava	ˈsɫava
svojku	ˈsvɔjku
poleje	ˈpɔlɛjɛ
zarež	ˈzarɛʒ
svätu	ˈsvɛtu
voj	ˈvɔj
pokojných	ˈpɔkɔjniːx
tana	ˈtana
sporov	ˈspɔrɔv
dvesto	ˈdvɛstɔ
zrely	ˈzrɛli
neera	ˈɲɛra
bazeny	ˈbazɛni
sprej	ˈsprɛj
krajoch	ˈkrajɔx
sve	ˈsvɛ
soze	ˈsɔzɛ
hops	ˈɦɔps
pojebný	ˈpɔjɛbniː
zamoruje	ˈzamɔrujɛ
zmučený	ˈzmutʃɛniː
člun	ˈtʃɫun
vyhov	ˈvihɔv
verným	ˈvɛrniːm
vlkov	ˈvɫkɔv
dobrel	ˈdɔbrɛl
konov	ˈkɔnɔv
vypol	ˈvipɔl
svok	ˈsvɔk
jmz	ˈjmz
konal	ˈkɔnal
dazda	ˈdazda
paska	ˈpaska
posekal	ˈpɔsɛkal
soľný	ˈsɔʎniː
klenote	ˈklɛnɔtɛ
struka	ˈstruka
zvery	ˈzvɛri
zawr	ˈzar
zobáka	ˈzɔbaːka
výhodný	ˈviːhɔdniː
kave	ˈkavɛ
padnete	ˈpadɲɛtɛ
štve	ˈʃtvɛ
struny	ˈstruni
thom	ˈtɦɔm
strankam	ˈstrankam
stavíš	ˈstaviːʃ
pokos	ˈpɔkɔs
zovu	ˈzɔvu
vláda	ˈvɫaːda
kurací	ˈkuratsiː
ježa	ˈjɛʒa
kote	ˈkɔtɛ
šom	ˈʃɔm
šejk	ˈʃɛjk
krva	ˈkrva
mosí	ˈmɔsiː
sladovej	ˈsɫadɔvɛj
horských	ˈɦɔrskiːx
hps	ˈɦps
hrbe	ˈɦrbɛ
patel	ˈpatɛl
zaber	ˈzabɛr
drana	ˈdrana
voš	ˈvɔʃ
frajerky	ˈfrajɛrki
zmluvu	ˈzmɫuvu
čaka	ˈtʃaka
sebov	ˈsɛbɔv
dovolí	ˈdɔvɔliː
vepra	ˈvɛpra
vladne	ˈvɫadɲɛ
budume	ˈbudumɛ
povedome	ˈpɔvɛdɔmɛ
kupat	ˈkupat
kazu	ˈkazu
tajnu	ˈtajnu
tedy	ˈtɛdi
nedo	ˈɲɛdɔ
pestujem	ˈpɛstujɛm
baum	ˈbaum
baku	ˈbaku
tvej	ˈtvɛj
čaje	ˈtʃajɛ
tome	ˈtɔmɛ
kruchov	ˈkruxɔv
vetko	ˈvɛtkɔ
daba	ˈdaba
balíš	ˈbaɫiːʃ
vedy	ˈvɛdi
vasmu	ˈvasmu
častým	ˈtʃastiːm
komenko	ˈkɔmɛnkɔ
zapojí	ˈzapɔjiː
pamet	ˈpamɛt
hodný	ˈɦɔdniː
pastu	ˈpastu
jalových	ˈjalɔviːx
mojoj	ˈmɔjɔj
suna	ˈsuna
depka	ˈdɛpka
savu	ˈsavu
hrdým	ˈɦrdiːm
katu	ˈkatu
james	ˈjamɛs
homer	ˈɦɔmɛr
naraný	ˈnaraniː
hosta	ˈɦɔsta
vychodne	ˈvixɔdɲɛ
zjest	ˈzjɛst
zvučí	ˈzvutʃiː
pas	ˈpas
dvojaký	ˈdvɔjakiː
jase	ˈjasɛ
kotla	ˈkɔtɫa
posedte	ˈpɔsɛdtɛ
dojo	ˈdɔjɔ
celou	ˈtsɛlɔu
zastrelý	ˈzastrɛliː
vej	ˈvɛj
drs	ˈdrs
dacha	ˈdaxa
menovka	ˈmɛnɔvka
zavesu	ˈzavɛsu
zvolaný	ˈzvɔlɑniː
vrada	ˈvrada
vespa	ˈvɛspa
splav	ˈspɫav
moskve	ˈmɔskvɛ
kondo	ˈkɔndɔ
hame	ˈɦamɛ
hoos	ˈɦɔs
vyhreš	ˈvihrɛʃ
bojo	ˈbɔjɔ
konare	ˈkɔnarɛ
sonaru	ˈsɔnaru
dresov	ˈdrɛsɔv
stran	ˈstran
svrab	ˈsvrab
splatný	ˈspɫatniː
pojítko	ˈpɔjiːtkɔ
soa	ˈsɔa
dospej	ˈdɔspɛj
vresk	ˈvrɛsk
zornom	ˈzɔrnɔm
zmej	ˈzmɛj
zvezok	ˈzvɛzɔk
sambu	ˈsambu
pozreme	ˈpɔzrɛmɛ
poznas	ˈpɔznas
výjs	ˈviːjs
skara	ˈskara
col	ˈtsɔɫ
vyplaš	ˈviplaʃ
slnku	ˈsɫnku
juzny	ˈjuzni
zlatík	ˈzɫatiːk
zapomeň	ˈzapɔmɛɲ
žujem	ˈʒujɛm
bena	ˈbɛna
zabudne	ˈzabudɲɛ
svetý	ˈsvɛtiː
balon	ˈbaɫɔn
strunou	ˈstrunɔu
zaprel	ˈzaprɛl
keth	ˈkɛtɦ
možný	ˈmɔʒniː
skore	ˈskɔrɛ
kupole	ˈkupɔlɛ
dod	ˈdɔd
sprejov	ˈsprɛjɔv
mokre	ˈmɔkrɛ
zda	ˈzda
cor	ˈtsɔr
poláska	ˈpɔɫaːska
vosku	ˈvɔsku
kempe	ˈkɛmpɛ
keds	ˈkɛds
bankov	ˈbankɔv
save	ˈsavɛ
stku	ˈstku
srna	ˈsrna
jarom	ˈjarɔm
skromným	ˈskrɔmniːm
moda	ˈmɔda
koove	ˈkɔvɛ
dokonalí	ˈdɔkɔnaliː
spravný	ˈspravniː
careca	ˈtsarɛtsa
kolec	ˈkɔlɛt
pozveš	ˈpɔzvɛʃ
kant	ˈkant
bazenova	ˈbazɛnɔva
morave	ˈmɔravɛ
sprave	ˈspravɛ
homera	ˈɦɔmɛra
cholere	ˈxɔlɛrɛ
sudov	ˈsudɔv
povest	ˈpɔvɛst
zaskočí	ˈzaskɔtʃiː
jaws	ˈjas
moho	ˈmɔɦɔ
dokoch	ˈdɔkɔx
vypšal	ˈvipʃal
výstupným	ˈviːstupniːm
našemu	ˈnaʃɛmu
neel	ˈɲɛl
tojí	ˈtɔjiː
beda	ˈbɛda
zobert	ˈzɔbɛrt
coru	ˈtsɔru
vlnku	ˈvɫnku
zostupu	ˈzɔstupu
joho	ˈjɔɦɔ
dusí	ˈdusiː
močku	ˈmɔtʃku
jolo	ˈjɔɫɔ
sofer	ˈsɔfɛr
dojato	ˈdɔjatɔ
sore	ˈsɔrɛ
handu	ˈɦandu
vece	ˈvɛtsɛ
vybornu	ˈvibɔrnu
doletí	ˈdɔlɛtiː
jemo	ˈjɛmɔ
čb	ˈtʃb
krve	ˈkrvɛ
skvrnu	ˈskvrnu
zdroje	ˈzdrɔjɛ
pokuse	ˈpɔkusɛ
postraším	ˈpɔstraʃiːm
šepkaných	ˈʃɛpkaniːx
vým	ˈviːm
samba	ˈsamba
struku	ˈstruku
voce	ˈvɔtsɛ
zvyskom	ˈzviskɔm
zapadnej	ˈzapadɲɛj
zlatých	ˈzɫatiːx
tlamou	ˈtɫamɔu
poznamenat	ˈpɔznamɛnat
sporím	ˈspɔriːm
potrela	ˈpɔtrɛlɑ
pantík	ˈpantiːk
vysadím	ˈvisadiːm
poco	ˈpɔtsɔ
pohodu	ˈpɔɦɔdu
zaser	ˈzasɛr
backa	ˈbatska
zadusím	ˈzadusiːm
jasom	ˈjasɔm
horár	ˈɦɔraːr
jest	ˈjɛst
bazenoch	ˈbazɛnɔx
dum	ˈdum
sporíš	ˈspɔriːʃ
sladku	ˈsɫadku
stopro	ˈstɔprɔ
dre	ˈdrɛ
predobedom	ˈprɛdɔbɛdɔm
varov	ˈvarɔv
pastí	ˈpastiː
torum	ˈtɔrum
sloba	ˈsɫɔba
namočí	ˈnamɔtʃiː
zmarený	ˈzmarɛniː
käthe	ˈkɛtɦɛ
vrave	ˈvravɛ
stranku	ˈstranku
kroner	ˈkrɔnɛr
vyhrajem	ˈvihrajɛm
slobo	ˈsɫɔbɔ
blade	ˈbladɛ
poštím	ˈpɔʃtiːm
cob	ˈtsɔb
semo	ˈsɛmɔ
tumom	ˈtumɔm
zpívat	ˈzpiːvat
baste	ˈbastɛ
vežkým	ˈvɛʒkiːm
skreč	ˈskrɛt
výmenou	ˈviːmɛnɔu
sladovku	ˈsɫadɔvku
zmoze	ˈzmɔzɛ
tamova	ˈtamɔva
vyhram	ˈvihram
cára	ˈtsaːra
zvalím	ˈzvaliːm
pokusná	ˈpɔkusnaː
krvná	ˈkrvnaː
vojska	ˈvɔjska
streep	ˈstrɛp
zvleč	ˈzvlɛt
vode	ˈvɔɟɛ
bacha	ˈbaxa
skej	ˈskɛj
ztrata	ˈztrata
doja	ˈdɔja
sate	ˈsatɛ
sver	ˈsvɛr
cm	ˈtsm
dov	ˈdɔv
karte	ˈkartɛ
spam	ˈspam
varujem	ˈvarujɛm
trupe	ˈtrupɛ
čus	ˈtʃus
mozny	ˈmɔzni
tavíme	ˈtaviːmɛ
pokryje	ˈpɔkrijɛ
spojí	ˈspɔjiː
ceckov	ˈtsɛtskɔv
zabodne	ˈzabɔdɲɛ
horným	ˈɦɔrniːm
soláru	ˈsɔɫaːru
stomu	ˈstɔmu
šekov	ˈʃɛkɔv
odna	ˈɔdna
coredo	ˈtsɔrɛdɔ
deba	ˈdɛba
volení	ˈvɔlɛniː
tos	ˈtɔs
zakona	ˈzakɔna
pea	ˈpɛa
močom	ˈmɔtʃɔm
speve	ˈspɛvɛ
posunkov	ˈpɔsunkɔv
žeee	ˈʒɛɛ
samu	ˈsamu
plaza	ˈpɫaza
tepu	ˈtɛpu
morí	ˈmɔriː
buša	ˈbuʃa
keˇm	ˈkɛm
zodrat	ˈzɔdrat
trendy	ˈtrɛndi
slovu	ˈsɫɔvu
kreme	ˈkrɛmɛ
šerých	ˈʃɛriːx
potíme	ˈpɔtiːmɛ
polej	ˈpɔlɛj
cola	ˈtsɔɫa
haram	ˈɦaram
bolestou	ˈbɔlɛstɔu
tomato	ˈtɔmatɔ
drze	ˈdrzɛ
zosta	ˈzɔstɑ
bamu	ˈbamu
tone	ˈtɔnɛ
poškaj	ˈpɔʃkaj
kupredu	ˈkuprɛdu
čen	ˈtʃɛn
zata	ˈzata
dravých	ˈdraviːx
poznají	ˈpɔznajiː
kostný	ˈkɔstniː
pása	ˈpaːsa
cool	ˈtsɔɫ
troju	ˈtrɔju
ježíš	ˈjɛʒiːʃ
čr	ˈtʃ
výdrž	ˈviːdrʒ
bete	ˈbɛtɛ
stav	ˈstav
voja	ˈvɔja
splní	ˈspɫɲiː
zbate	ˈzbatɛ
dba	ˈdba
jupí	ˈjupiː
ktrých	ˈktriːx
zajet	ˈzajɛt
upec	ˈupɛt
dojemný	ˈdɔjɛmniː
vojakom	ˈvɔjakɔm
sek	ˈsɛk
kapustu	ˈkapustu
stupol	ˈstupɔɫ
spre	ˈsprɛ
namocí	ˈnamɔtsiː
marových	ˈmarɔviːx
svrabe	ˈsvrabɛ
cark	ˈtsark
jarou	ˈjarɔu
hamba	ˈɦamba
każdý	ˈkadiː
hama	ˈɦama
zlož	ˈzɫɔʒ
tus	ˈtus
doreka	ˈdɔrɛka
dabuje	ˈdabujɛ
zdarec	ˈzdarɛt
vanok	ˈvanɔk
kbe	ˈkbɛ
wou	ˈɔu
bandou	ˈbandɔu
dosku	ˈdɔsku
card	ˈtsard
kadím	ˈkadiːm
boros	ˈbɔrɔs
sorač	ˈsɔrat
wha	ˈɦa
domas	ˈdɔmas
vysaj	ˈvisaj
pasuje	ˈpasujɛ
vauu	ˈvau
tlamy	ˈtɫami
sado	ˈsadɔ
dosere	ˈdɔsɛrɛ
šeková	ˈʃɛkɔvɑː
cku	ˈtsku
vezu	ˈvɛzu
seno	ˈsɛnɔ
vojenskí	ˈvɔjɛnskiː
toa	ˈtɔa
jamu	ˈjamu
strelou	ˈstrɛlɔu
bezp	ˈbɛzp
kesty	ˈkɛsti
dopísal	ˈdɔpiːsal
kokosových	ˈkɔsɔviːx
dobru	ˈdɔbru
znamu	ˈznamu
nezu	ˈɲɛzu
sona	ˈsɔna
vecou	ˈvɛtsɔu
kutím	ˈkutiːm
volaju	ˈvɔlɑju
zotaneš	ˈzɔtaɲɛʃ
tous	ˈtɔus
zarazený	ˈzarazɛniː
coral	ˈtsɔral
vate	ˈvatɛ
vojem	ˈvɔjɛm
jesto	ˈjɛstɔ
tajov	ˈtajɔv
varenom	ˈvarɛnɔm
mužnou	ˈmuʒnɔu
plast	ˈpɫast
spol	ˈspɔɫ
toru	ˈtɔru
dvom	ˈdvɔm
karesom	ˈkarɛsɔm
strešnom	ˈstrɛʃnɔm
draba	ˈdraba
polat	ˈpɔɫat
zrnka	ˈzrnka
zkratku	ˈzkratku
tukových	ˈtukɔviːx
zbadaný	ˈzbadaniː
podusíme	ˈpɔdusiːmɛ
jaruš	ˈjaruʃ
zhoz	ˈzhɔz
sabres	ˈsabrɛs
spock	ˈspɔts
smrdý	ˈsmrdiː
postavaný	ˈpɔstavaniː
vyhras	ˈvihras
mosadu	ˈmɔsadu
zaskoč	ˈzaskɔt
kras	ˈkras
domenkov	ˈdɔmɛnkɔv
skopem	ˈskɔpɛm
zobu	ˈzɔbu
zotaví	ˈzɔtaviː
moruše	ˈmɔruʃɛ
výdaj	ˈviːdaj
troma	ˈtrɔma
tramp	ˈtramp
krave	ˈkravɛ
slabom	ˈsɫabɔm
slona	ˈsɫɔna
zaboduje	ˈzabɔdujɛ
koralový	ˈkɔralɔviː
kastu	ˈkastu
doho	ˈdɔɦɔ
zdat	ˈzdat
duck	ˈduts
hadku	ˈɦadku
potím	ˈpɔtiːm
moseho	ˈmɔsɛhɔ
stvorení	ˈstvɔrɛniː
vratký	ˈvratkiː
becka	ˈbɛtska
cemo	ˈtsɛmɔ
vypoved	ˈvipɔvɛd
dlabem	ˈdɫabɛm
zamočí	ˈzamɔtʃiː
sendak	ˈsɛndak
zodve	ˈzɔdvɛ
zadkoch	ˈzadkɔx
beka	ˈbɛka
ktore	ˈktɔrɛ
keel	ˈkɛl
pojem	ˈpɔjɛm
zotavený	ˈzɔtavɛniː
kamera	ˈkamɛra
zákazu	ˈzaːkazu
kpa	ˈkpa
smele	ˈsmɛlɛ
jozem	ˈjɔzɛm
voltový	ˈvɔltɔviː
boduje	ˈbɔdujɛ
potulná	ˈpɔtulnaː
slovak	ˈsɫɔvak
slovným	ˈsɫɔvniːm
kostru	ˈkɔstru
tudu	ˈtudu
zdasa	ˈzdasa
zaka	ˈzaka
karensky	ˈkarɛnski
horrím	ˈɦɔriːm
sladím	ˈsɫadiːm
bosích	ˈbɔsiːx
postely	ˈpɔstɛli
kupel	ˈkupɛl
doralee	ˈdɔralɛ
poznamka	ˈpɔznamka
držku	ˈdrʒku
župane	ˈʒupaɲɛ
banket	ˈbankɛt
spokojím	ˈspɔkɔjiːm
vedoucí	ˈvɛdɔutsiː
teby	ˈtɛbi
poznačí	ˈpɔznatʃiː
výdavku	ˈviːdavku
prosíš	ˈprɔsiːʃ
bojec	ˈbɔjɛt
zmeškaný	ˈzmɛʃkaniː
modlíte	ˈmɔdliːtɛ
plátna	ˈpɫaːtna
sava	ˈsava
upra	ˈupra
vzdaní	ˈvzdaɲiː
johne	ˈjɔɦnɛ
haku	ˈɦaku
zmeskal	ˈzmɛskal
sumu	ˈsumu
hoj	ˈɦɔj
neruší	ˈɲɛruʃiː
zaryje	ˈzarijɛ
kapor	ˈkapɔr
zotrem	ˈzɔtrɛm
svedomý	ˈsvɛdɔmiː
preskoč	ˈprɛskɔt
mokrí	ˈmɔkriː
pase	ˈpasɛ
zvučku	ˈzvutʃku
ceda	ˈtsɛda
čoje	ˈtʃɔjɛ
stupňe	ˈstupɲɛ
smudná	ˈsmudnaː
modre	ˈmɔdrɛ
zlej	ˈzɫɛj
vrzne	ˈvrzɲɛ
zrobí	ˈzrɔbiː
korze	ˈkɔrzɛ
svena	ˈsvɛna
komare	ˈkɔmarɛ
slabo	ˈsɫabɔ
kvetín	ˈkvɛtiːn
výstredný	ˈviːstrɛdniː
kahn	ˈkaɦn
skumal	ˈskumal
vam	ˈvam
zverov	ˈzvɛrɔv
zosadíš	ˈzɔsadiːʃ
pome	ˈpɔmɛ
stlp	ˈstɫp
vstu	ˈvstu
doprac	ˈdɔprat
padíka	ˈpadiːka
skočko	ˈskɔtʃkɔ
zadku	ˈzadku
venom	ˈvɛnɔm
basta	ˈbasta
verní	ˈvɛrniː
upadne	ˈupadɲɛ
budo	ˈbudɔ
zhod	ˈzhɔd
masový	ˈmasɔviː
strajk	ˈstrajk
jes	ˈjɛs
dodome	ˈdɔmɛ
krona	ˈkrɔna
sobe	ˈsɔbɛ
kráca	ˈkraːtsa
strunku	ˈstrunku
padnem	ˈpadɲɛm
stanu	ˈstanu
vyje	ˈvijɛ
bodným	ˈbɔdniːm
páka	ˈpaːka
kom	ˈkɔm
dolo	ˈdɔɫɔ
zrovnala	ˈzrɔvnalɑ
štveš	ˈʃtvɛʃ
zveda	ˈzvɛda
meška	ˈmɛʃka
stranov	ˈstranɔv
zabudnú	ˈzabudnuː
kučery	ˈkutʃɛri
stredných	ˈstrɛdniːx
stolo	ˈstɔɫɔ
plamenoch	ˈpɫamɛnɔx
trupov	ˈtrupɔv
dos	ˈdɔs
zachova	ˈzaxɔva
vychladne	ˈvixladɲɛ
dane	ˈdaɲɛ
zabudnes	ˈzabudɲɛs
vyborne	ˈvibɔrnɛ
bajnom	ˈbajnɔm
sadru	ˈsadru
cf	ˈts
dusený	ˈdusɛniː
topíme	ˈtɔpiːmɛ
zvas	ˈzvas
jat	ˈjat
konte	ˈkɔntɛ
poslu	ˈpɔsɫu
sere	ˈsɛrɛ
panský	ˈpanskiː
zabr	ˈzabr
tojho	ˈtɔjhɔ
stavku	ˈstavku
vozu	ˈvɔzu
karty	ˈkarti
sluho	ˈsɫuɦɔ
tuha	ˈtuɦa
vreca	ˈvrɛtsa
stvor	ˈstvɔr
spomalí	ˈspɔmaliː
sedzo	ˈsɛdzɔ
kopula	ˈkɔpula
caju	ˈtsaju
joj	ˈjɔj
podrobeným	ˈpɔdrɔbɛniːm
zrade	ˈzraɟɛ
sadr	ˈsadr
strelným	ˈstrɛlniːm
dospelu	ˈdɔspɛlu
bajk	ˈbajk
pesach	ˈpɛsax
bazom	ˈbazɔm
caru	ˈtsaru
bosnu	ˈbɔsnu
volbu	ˈvɔlbu
slamka	ˈsɫamka
strel	ˈstrɛl
dneš	ˈdɲɛʃ
pokusný	ˈpɔkusniː
janos	ˈjanɔs
stranok	ˈstranɔk
koselu	ˈkɔsɛlu
kamerka	ˈkamɛrka
zapadnem	ˈzapadɲɛm
predostrel	ˈprɛdɔstrɛl
hokus	ˈɦɔkus
sporí	ˈspɔriː
venku	ˈvɛnku
stave	ˈstavɛ
pomaha	ˈpɔmaɦa
slnkom	ˈsɫnkɔm
znakov	ˈznakɔv
vodný	ˈvɔdniː
dotýkal	ˈdɔtiːkal
zrovnal	ˈzrɔvnal
vysl	ˈvisl
vlada	ˈvɫada
postroj	ˈpɔstrɔj
ojo	ˈɔjɔ
vybuchla	ˈvibuxla
vaňou	ˈvaɲɔu
zvarme	ˈzvarmɛ
zobak	ˈzɔbak
zadusí	ˈzadusiː
mousa	ˈmɔusa
dovaríš	ˈdɔvariːʃ
kamel	ˈkamɛl
stavka	ˈstavka
treje	ˈtrɛjɛ
výskumní	ˈviːskumniː
zaduje	ˈzadujɛ
sefe	ˈsɛfɛ
morava	ˈmɔrava
kamoška	ˈkamɔʃka
zvane	ˈzvaɲɛ
bavíš	ˈbaviːʃ
zeje	ˈzɛjɛ
spoj	ˈspɔj
poštvem	ˈpɔʃtvɛm
kohla	ˈkɔɦɫa
chorom	ˈxɔrɔm
zdrojov	ˈzdrɔjɔv
kuma	ˈkuma
sady	ˈsadi
nadých	ˈnadiːx
depku	ˈdɛpku
zohal	ˈzɔɦal
spotí	ˈspɔtiː
dobtok	ˈdɔbtɔk
stanom	ˈstanɔm
skom	ˈskɔm
spáva	ˈspaːva
tromy	ˈtrɔmi
duje	ˈdujɛ
trepu	ˈtrɛpu
coma	ˈtsɔma
započína	ˈzapɔtʃiːna
solu	ˈsɔɫu
výrobu	ˈviːrɔbu
počom	ˈpɔtʃɔm
tuda	ˈtuda
streľal	ˈstrɛʎal
habu	ˈɦabu
zabe	ˈzabɛ
bazu	ˈbazu
dove	ˈdɔvɛ
zahre	ˈzaɦrɛ
vole	ˈvɔlɛ
droves	ˈdrɔvɛs
bodneš	ˈbɔdɲɛʃ
kromer	ˈkrɔmɛr
seš	ˈsɛʃ
bavy	ˈbavi
pojebac	ˈpɔjɛbat
dojest	ˈdɔjɛst
kočkou	ˈkɔtʃkɔu
zostupná	ˈzɔstupnaː
spovedaš	ˈspɔvɛdaʃ
bodnem	ˈbɔdɲɛm
spreje	ˈsprɛjɛ
temp	ˈtɛmp
tama	ˈtama
možnom	ˈmɔʒnɔm
svojích	ˈsvɔjiːx
suva	ˈsuva
stoh	ˈstɔɦ
zac	ˈzat
šeba	ˈʃɛba
pastna	ˈpastna
pesa	ˈpɛsa
jap	ˈjap
vecných	ˈvɛtsniːx
vysal	ˈvisal
vreco	ˈvrɛtsɔ
smes	ˈsmɛs
vystroj	ˈvistrɔj
bodovací	ˈbɔdɔvatsiː
zaletí	ˈzalɛtiː
škodí	ˈʃkɔdiː
tužba	ˈtuʒba
streľ	ˈstrɛʎ
copy	ˈtsɔpi
výsadok	ˈviːsadɔk
vypadku	ˈvipadku
jaho	ˈjaɦɔ
kvapel	ˈkvapɛl
soju	ˈsɔju
surely	ˈsurɛli
spoznás	ˈspɔznaːs
stredna	ˈstrɛdna
vybera	ˈvibɛra
sacky	ˈsatski
zvolených	ˈzvɔlɛniːx
sake	ˈsakɛ
švíku	ˈʃviːku
čož	ˈtʃɔʒ
zajra	ˈzajra
čur	ˈtʃur
spodu	ˈspɔdu
kraven	ˈkravɛn
krs	ˈkrs
banou	ˈbanɔu
dont	ˈdɔnt
varuj	ˈvaruj
masovu	ˈmasɔvu
venkat	ˈvɛnkat
vrazený	ˈvrazɛniː
drep	ˈdrɛp
zvaze	ˈzvazɛ
kolese	ˈkɔlɛsɛ
zrnkom	ˈzrnkɔm
cím	ˈtsiːm
strajky	ˈstrajki
strobel	ˈstrɔbɛl
vets	ˈvɛts
juuso	ˈjusɔ
zapotím	ˈzapɔtiːm
tompko	ˈtɔmpkɔ
that	ˈtɦat
zrnko	ˈzrnkɔ
kozu	ˈkɔzu
setre	ˈsɛtrɛ
kučera	ˈkutʃɛra
každo	ˈkaʒdɔ
sada	ˈsada
serme	ˈsɛrmɛ
baska	ˈbaska
vlase	ˈvɫasɛ
varuješ	ˈvarujɛʃ
pobežím	ˈpɔbɛʒiːm
ponás	ˈpɔnaːs
vyplače	ˈviplatʃɛ
zamorených	ˈzamɔrɛniːx
vrane	ˈvraɲɛ
poľa	ˈpɔʎa
todt	ˈtɔdt
zlata	ˈzɫata
zomba	ˈzɔmba
čík	ˈtʃiːk
zpo	ˈzpɔ
tíme	ˈtiːmɛ
treske	ˈtrɛskɛ
padneš	ˈpadɲɛʃ
toh	ˈtɔɦ
jasnom	ˈjasnɔm
polack	ˈpɔɫats
stvat	ˈstvat
